"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",14428,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",55343,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",12479,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",3140,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",68102,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",43064,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",5933,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",20884,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",54442,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",14865,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",39827,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",1142,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",13350,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",96291,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",6094,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",5679,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",47084,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",10592,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",41222,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",33081,,
