Territorio;Età;Value;
Valle d'Aosta / Vallée d'Aoste;20;1225;
Provincia Autonoma Bolzano / Bozen;20;6034;
Veneto;20;48097;
Friuli-Venezia Giulia;20;11020;
Emilia-Romagna;20;41263;
Toscana;20;33329;
Umbria;20;7861;
Marche;20;14304;
Lazio;20;53919;
Abruzzo;20;12106;
Molise;20;2856;
Campania;20;67134;
Puglia;20;43036;
Basilicata;20;5734;
Calabria;20;19957;
Sicilia;20;53628;
Sardegna;20;14402;
Piemonte;21;39475;
Valle d'Aosta / Vallée d'Aoste;21;1199;
Liguria;21;13221;
Lombardia;21;96408;
Provincia Autonoma Bolzano / Bozen;21;6104;
Provincia Autonoma Trento;21;5739;
Veneto;21;47458;
Friuli-Venezia Giulia;21;10646;
Emilia-Romagna;21;40540;
Toscana;21;32624;
Umbria;21;7864;
Marche;21;14267;
Lazio;21;53321;
Abruzzo;21;12043;
Molise;21;2958;
Campania;21;67324;
Puglia;21;43014;
Basilicata;21;5758;
Calabria;21;19909;
Sicilia;21;54203;
Sardegna;21;14279;
Piemonte;22;40289;
Valle d'Aosta / Vallée d'Aoste;22;1210;
Liguria;22;13502;
Lombardia;22;97275;
Provincia Autonoma Trento;22;5827;
Veneto;22;48261;
Friuli-Venezia Giulia;22;10781;
Emilia-Romagna;22;41005;
Umbria;22;7938;
Marche;22;14582;
Sicilia;22;53258;
Sardegna;22;14026;
Provincia Autonoma Bolzano / Bozen;22;6177;
Toscana;22;33429;
Lazio;22;54387;
Abruzzo;22;12418;
Molise;22;3065;
Campania;22;67309;
Puglia;22;42984;
Basilicata;22;5760;
Calabria;22;20218;
Sicilia;23;53282;
Sardegna;23;14154;
Piemonte;23;40227;
Valle d'Aosta / Vallée d'Aoste;23;1148;
Liguria;23;13385;
Lombardia;23;96989;
Provincia Autonoma Bolzano / Bozen;23;6276;
Provincia Autonoma Trento;23;5707;
Veneto;23;48285;
Friuli-Venezia Giulia;23;10706;
Emilia-Romagna;23;41171;
Toscana;23;33207;
Umbria;23;7939;
Marche;23;14466;
Lazio;23;54351;
Abruzzo;23;12372;
Molise;23;3012;
Campania;23;67139;
Puglia;23;42748;
Basilicata;23;5727;
Calabria;23;19852;
Piemonte;24;39893;
Valle d'Aosta / Vallée d'Aoste;24;1225;
Liguria;24;13744;
Lombardia;24;96700;
Provincia Autonoma Bolzano / Bozen;24;6198;
Provincia Autonoma Trento;24;5781;
Veneto;24;47871;
Friuli-Venezia Giulia;24;11004;
Emilia-Romagna;24;41169;
Toscana;24;33327;
Umbria;24;7972;
Marche;24;14378;
Lazio;24;54926;
Abruzzo;24;12578;
Molise;24;3012;
Campania;24;67401;
Puglia;24;42852;
Basilicata;24;5824;
Calabria;24;20322;
Sicilia;24;53474;
Sardegna;24;14373;
Piemonte;25;39750;
Valle d'Aosta / Vallée d'Aoste;25;1152;
Liguria;25;13360;
Lombardia;25;96485;
Provincia Autonoma Bolzano / Bozen;25;5953;
Provincia Autonoma Trento;25;5704;
Veneto;25;47230;
Friuli-Venezia Giulia;25;10662;
Emilia-Romagna;25;41317;
Toscana;25;33051;
Umbria;25;7938;
Marche;25;14440;
Lazio;25;55415;
Abruzzo;25;12506;
Molise;25;3090;
Campania;25;67245;
Puglia;25;42438;
Basilicata;25;5847;
Calabria;25;20581;
Sicilia;25;53674;
Sardegna;25;14744;
Provincia Autonoma Bolzano / Bozen;26;6084;
Provincia Autonoma Trento;26;5732;
Veneto;26;47395;
Friuli-Venezia Giulia;26;10751;
Emilia-Romagna;26;42255;
Toscana;26;33382;
Umbria;26;7985;
Marche;26;14319;
Lazio;26;55943;
Abruzzo;26;12917;
Molise;26;3165;
Campania;26;67625;
Puglia;26;42594;
Basilicata;26;5981;
Calabria;26;20957;
Sicilia;26;54600;
Sardegna;26;14901;
Piemonte;26;40273;
Valle d'Aosta / Vallée d'Aoste;26;1129;
Liguria;26;13452;
Lombardia;26;97923;
Piemonte;27;40990;
Valle d'Aosta / Vallée d'Aoste;27;1137;
Liguria;27;13693;
Lombardia;27;100230;
Provincia Autonoma Bolzano / Bozen;27;5901;
Provincia Autonoma Trento;27;5816;
Veneto;27;47778;
Friuli-Venezia Giulia;27;10868;
Emilia-Romagna;27;43036;
Toscana;27;33910;
Umbria;27;8170;
Marche;27;14562;
Lazio;27;56990;
Abruzzo;27;13276;
Molise;27;3224;
Campania;27;68624;
Puglia;27;43501;
Basilicata;27;6057;
Calabria;27;21710;
Sicilia;27;56065;
Sardegna;27;15297;
Piemonte;28;42561;
Valle d'Aosta / Vallée d'Aoste;28;1263;
Liguria;28;14379;
Lombardia;28;104170;
Provincia Autonoma Bolzano / Bozen;28;6085;
Veneto;28;49689;
Abruzzo;28;13797;
Molise;28;3358;
Campania;28;71352;
Puglia;28;45244;
Basilicata;28;6494;
Calabria;28;22240;
Sicilia;28;58164;
Sardegna;28;15967;
Provincia Autonoma Trento;28;6031;
Friuli-Venezia Giulia;28;11560;
Emilia-Romagna;28;45655;
Toscana;28;35821;
Umbria;28;8586;
Marche;28;15147;
Lazio;28;59708;
Basilicata;29;6305;
Calabria;29;22117;
Piemonte;29;42820;
Valle d'Aosta / Vallée d'Aoste;29;1191;
Liguria;29;14174;
Lombardia;29;105303;
Provincia Autonoma Bolzano / Bozen;29;6243;
Provincia Autonoma Trento;29;5925;
Veneto;29;49674;
Friuli-Venezia Giulia;29;11653;
Emilia-Romagna;29;46041;
Toscana;29;35790;
Umbria;29;8496;
Marche;29;15101;
Lazio;29;59526;
Abruzzo;29;13782;
Molise;29;3278;
Sicilia;29;57198;
Sardegna;29;16313;
Campania;29;70598;
Puglia;29;44407;
Lombardia;30;108265;
Provincia Autonoma Bolzano / Bozen;30;6288;
Provincia Autonoma Trento;30;6015;
Veneto;30;50753;
Friuli-Venezia Giulia;30;11798;
Emilia-Romagna;30;47301;
Toscana;30;37539;
Umbria;30;8695;
Marche;30;15536;
Lazio;30;61600;
Abruzzo;30;14008;
Molise;30;3294;
Campania;30;70156;
Puglia;30;44278;
Basilicata;30;6564;
Calabria;30;22690;
Sicilia;30;57715;
Sardegna;30;16808;
Liguria;30;14339;
Piemonte;30;43922;
Valle d'Aosta / Vallée d'Aoste;30;1260;
Provincia Autonoma Bolzano / Bozen;31;6250;
Liguria;31;14326;
Valle d'Aosta / Vallée d'Aoste;31;1234;
Veneto;31;50512;
Lombardia;31;109255;
Friuli-Venezia Giulia;31;11806;
Provincia Autonoma Trento;31;5887;
Emilia-Romagna;31;47162;
Toscana;31;37266;
Umbria;31;8948;
Marche;31;15339;
Lazio;31;61896;
Abruzzo;31;14035;
Molise;31;3260;
Campania;31;69791;
Puglia;31;43904;
Basilicata;31;6340;
Calabria;31;23037;
Sicilia;31;57767;
Sardegna;31;16849;
Piemonte;31;43340;
Valle d'Aosta / Vallée d'Aoste;32;1283;
Liguria;32;14660;
Lombardia;32;112447;
Provincia Autonoma Bolzano / Bozen;32;6182;
Veneto;32;51585;
Provincia Autonoma Trento;32;6067;
Friuli-Venezia Giulia;32;12097;
Emilia-Romagna;32;47760;
Toscana;32;38723;
Umbria;32;9371;
Marche;32;15751;
Lazio;32;64224;
Sicilia;32;58109;
Sardegna;32;17072;
Piemonte;32;44469;
Abruzzo;32;14358;
Molise;32;3357;
Puglia;32;45040;
Campania;32;70878;
Basilicata;32;6392;
Calabria;32;23501;
Piemonte;33;43496;
Valle d'Aosta / Vallée d'Aoste;33;1258;
Liguria;33;14349;
Lombardia;33;110583;
Provincia Autonoma Bolzano / Bozen;33;5978;
Provincia Autonoma Trento;33;5993;
Veneto;33;49981;
Friuli-Venezia Giulia;33;11631;
Emilia-Romagna;33;47728;
Toscana;33;37911;
Umbria;33;9050;
Marche;33;15401;
Lazio;33;63991;
Abruzzo;33;14118;
Molise;33;3335;
Campania;33;68831;
Puglia;33;44329;
Basilicata;33;6300;
Calabria;33;23097;
Sicilia;33;56796;
Sardegna;33;17258;
Emilia-Romagna;34;48065;
Toscana;34;38012;
Marche;34;15913;
Lazio;34;64236;
Abruzzo;34;14511;
Molise;34;3314;
Campania;34;68243;
Piemonte;34;44267;
Umbria;34;9263;
Puglia;34;43988;
Basilicata;34;6180;
Calabria;34;22864;
Sicilia;34;56916;
Sardegna;34;17303;
Valle d'Aosta / Vallée d'Aoste;34;1249;
Provincia Autonoma Trento;34;5926;
Liguria;34;14196;
Friuli-Venezia Giulia;34;11959;
Provincia Autonoma Bolzano / Bozen;34;6112;
Lombardia;34;111391;
Veneto;34;50424;
Piemonte;35;45328;
Valle d'Aosta / Vallée d'Aoste;35;1300;
Liguria;35;14857;
Lombardia;35;114782;
Provincia Autonoma Bolzano / Bozen;35;6212;
Provincia Autonoma Trento;35;6078;
Veneto;35;53001;
Friuli-Venezia Giulia;35;12486;
Emilia-Romagna;35;49939;
Toscana;35;39685;
Umbria;35;9547;
Marche;35;16327;
Lazio;35;67395;
Abruzzo;35;14973;
Molise;35;3384;
Campania;35;69882;
Puglia;35;44011;
Basilicata;35;6430;
Calabria;35;23012;
Sicilia;35;57421;
Sardegna;35;18036;
Piemonte;36;45586;
Liguria;36;14763;
Provincia Autonoma Trento;36;6165;
Molise;36;3372;
Campania;36;71059;
Puglia;36;45708;
Basilicata;36;6543;
Calabria;36;23422;
Sicilia;36;58628;
Sardegna;36;18405;
Valle d'Aosta / Vallée d'Aoste;36;1311;
Lombardia;36;117495;
Provincia Autonoma Bolzano / Bozen;36;6207;
Veneto;36;53098;
Friuli-Venezia Giulia;36;12700;
Emilia-Romagna;36;51016;
Toscana;36;40397;
Umbria;36;9640;
Marche;36;16542;
Lazio;36;69540;
Abruzzo;36;15216;
Umbria;37;10297;
Marche;37;17009;
Lazio;37;71141;
Puglia;37;46082;
Piemonte;37;47024;
Valle d'Aosta / Vallée d'Aoste;37;1392;
Liguria;37;15153;
Lombardia;37;120253;
Provincia Autonoma Bolzano / Bozen;37;6415;
Provincia Autonoma Trento;37;6307;
Veneto;37;54233;
Friuli-Venezia Giulia;37;12694;
Emilia-Romagna;37;52063;
Toscana;37;41567;
Abruzzo;37;15185;
Molise;37;3408;
Campania;37;71783;
Basilicata;37;6469;
Calabria;37;23243;
Sicilia;37;57950;
Sardegna;37;18895;
Abruzzo;38;15919;
Molise;38;3552;
Campania;38;73644;
Puglia;38;47621;
Basilicata;38;6574;
Calabria;38;23783;
Sicilia;38;59913;
Sardegna;38;19909;
Piemonte;38;48848;
Valle d'Aosta / Vallée d'Aoste;38;1405;
Liguria;38;15156;
Lombardia;38;124685;
Provincia Autonoma Bolzano / Bozen;38;6766;
Provincia Autonoma Trento;38;6357;
Veneto;38;56315;
Friuli-Venezia Giulia;38;13432;
Emilia-Romagna;38;53643;
Toscana;38;42778;
Umbria;38;10278;
Marche;38;17762;
Lazio;38;73868;
Piemonte;39;49056;
Valle d'Aosta / Vallée d'Aoste;39;1328;
Liguria;39;15824;
Lombardia;39;125651;
Provincia Autonoma Bolzano / Bozen;39;6779;
Provincia Autonoma Trento;39;6234;
Veneto;39;57333;
Friuli-Venezia Giulia;39;13538;
Emilia-Romagna;39;53863;
Toscana;39;43343;
Umbria;39;10519;
Marche;39;17867;
Lazio;39;74613;
Abruzzo;39;15840;
Molise;39;3572;
Campania;39;72787;
Puglia;39;48411;
Basilicata;39;6534;
Sicilia;39;60036;
Calabria;39;23733;
Sardegna;39;20042;
Toscana;40;44578;
Emilia-Romagna;40;55870;
Abruzzo;40;16322;
Lazio;40;76035;
Piemonte;40;50438;
Valle d'Aosta / Vallée d'Aoste;40;1439;
Liguria;40;15676;
Lombardia;40;127905;
Provincia Autonoma Bolzano / Bozen;40;6777;
Provincia Autonoma Trento;40;6436;
Veneto;40;58975;
Friuli-Venezia Giulia;40;14072;
Umbria;40;10650;
Marche;40;18685;
Molise;40;3565;
Campania;40;73849;
Puglia;40;49808;
Basilicata;40;6577;
Calabria;40;24171;
Sicilia;40;62232;
Sardegna;40;20810;
Piemonte;41;51636;
Valle d'Aosta / Vallée d'Aoste;41;1426;
Liguria;41;16405;
Lombardia;41;130833;
Provincia Autonoma Bolzano / Bozen;41;6642;
Provincia Autonoma Trento;41;6619;
Veneto;41;61403;
Friuli-Venezia Giulia;41;14431;
